discipline,year,papers,oa_rate,open_material_rate,github_rate,zenodo_rate,osf_rate,dataset_rate,preregistered_rate,preprint_rate,high_impact_rate,non_oa_open_signal_rate,open_science_any_rate,mean_open_science_score,mean_citations,composite_index,hi_papers,hi_oa_rate,hi_open_material_rate,hi_github_rate,hi_dataset_rate,hi_preregistered_rate,hi_preprint_rate
neuroscience,2021,1926,0.45846313603322947,0.018172377985462097,0.004672897196261682,0.009865005192107996,0.0010384215991692627,0.003115264797507788,0.0,0.0,0.03842159916926272,0.018172377985462097,0.45898234683281414,0.09017368038812046,8.728452751817239,9.73,74,0.8108108108108109,0.02702702702702703,0.0,0.013513513513513514,0.0,0.0
neuroscience,2022,1779,0.5120854412591344,0.02304665542439573,0.002810567734682406,0.017425519955030916,0.0011242270938729624,0.002810567734682406,0.0,0.0,0.03204047217537943,0.02304665542439573,0.5126475548060708,0.08461927457457785,7.982574480044969,10.9,57,0.7368421052631579,0.03508771929824561,0.017543859649122806,0.0,0.0,0.0
neuroscience,2023,1695,0.6218289085545723,0.027138643067846607,0.0017699115044247787,0.01710914454277286,0.0029498525073746312,0.006489675516224189,0.0,0.0,0.01710914454277286,0.027138643067846607,0.6218289085545723,0.0874976597119233,5.9604719764011795,13.26,29,0.8620689655172413,0.0,0.0,0.0,0.0,0.0
neuroscience,2024,2034,0.5644051130776795,0.0029498525073746312,0.0004916420845624386,0.0014749262536873156,0.0004916420845624386,0.0004916420845624386,0.0,0.0,0.005408062930186824,0.0029498525073746312,0.5644051130776795,0.08857417443495133,2.4960668633235006,11.38,11,0.6363636363636364,0.0,0.0,0.0,0.0,0.0
neuroscience,2025,2419,0.6064489458453907,0.06118230673832162,0.002066969822240595,0.046713517982637454,0.007027697395618024,0.005787515502273667,0.0,0.0,0.0024803637866887144,0.06118230673832162,0.6064489458453907,0.08471353767076478,1.3811492352211658,13.79,6,0.8333333333333334,0.0,0.0,0.0,0.0,0.0
neuroscience,2026,4193,0.9017409968995945,0.7488671595516336,0.004531361793465299,0.734796088719294,0.004769854519437157,0.006439303601240162,0.0,0.0,0.00023849272597185786,0.7488671595516336,0.9017409968995945,0.14116124969640828,0.020510374433579774,36.93,1,0.0,0.0,0.0,0.0,0.0,0.0
stroke,2015,14165,0.3865160607130251,0.014966466643134486,0.0,0.0016237204376985527,0.0,0.013342746205435933,0.0,0.0,0.25471231909636427,0.014966466643134486,0.38658665725379454,0.014058837557500621,20.395481821390753,8.37,3608,0.4229490022172949,0.0036031042128603103,0.0,0.0033259423503325942,0.0,0.0
stroke,2016,14414,0.42250589704454006,0.022339392257527405,6.937699458859442e-05,0.001803801859303455,0.0,0.02053559039822395,0.0,0.0,0.24587206882197862,0.022339392257527405,0.42250589704454006,0.015459483184941848,19.191272374080754,9.42,3544,0.47404063205417607,0.0031038374717832955,0.0,0.0031038374717832955,0.0,0.0
stroke,2017,15817,0.42903205411898593,0.023139659859644685,0.0008851236011885946,0.003034709489789467,0.00018966934311184168,0.01978883479800215,0.0,0.0,0.22905734336473416,0.023139659859644685,0.4290952772333565,0.014879731992095555,17.925396725042674,9.56,3623,0.4874413469500414,0.0049682583494341705,0.0,0.0038642009384487995,0.0,0.0
stroke,2018,16329,0.4343193092044828,0.0120031845183416,0.0001224814746769551,0.0033682405536162655,6.124073733847755e-05,0.00851246249004838,0.0,0.0,0.20693245146671566,0.0120031845183416,0.4343805499418213,0.016458681275491212,16.18672300814502,9.16,3379,0.5176087599881621,0.008286475288546907,0.0002959455460195324,0.007694584196507843,0.0,0.0
stroke,2019,17794,0.47864448690569855,0.014780263010003371,0.0,0.004102506462852647,0.00016859615600764303,0.010509160391143081,0.0,0.0,0.2105204001348769,0.014780263010003371,0.47881308306170617,0.015696600605528684,15.22670563111161,10.15,3746,0.5077415910304325,0.004271222637479978,0.0,0.0034703683929524828,0.0,0.0
stroke,2020,18614,0.5640915439991404,0.01563339421940475,0.00021489201676157732,0.006070699473514559,0.000161169012571183,0.009240356720747824,0.0,0.0,0.1912001719136134,0.01563339421940475,0.5641989900075213,0.015160052617741868,14.240571612764585,11.86,3559,0.5642034279291936,0.005619556055071649,0.0002809778027535825,0.003933689238550154,0.0,0.0
stroke,2021,18892,0.6252911285200085,0.023819606182511117,0.0003175947491001482,0.005716705483802668,0.00026466229091679015,0.017626508575058226,0.0,0.0,0.15641541393182298,0.023819606182511117,0.6253969934363752,0.0163444360958335,12.223957230573788,13.46,2955,0.5966159052453469,0.0047377326565143825,0.00033840947546531303,0.0040609137055837565,0.0,0.0
stroke,2022,18153,0.6574119980168567,0.024293505205751114,0.0006059604473089848,0.009750454470335481,0.00022034925356690353,0.013826915661323198,0.0,0.0,0.12141243871536385,0.024293505205751114,0.6575221726436402,0.0190615452743805,9.586624800308488,14.04,2204,0.5921052631578947,0.004537205081669692,0.00045372050816696913,0.003176043557168784,0.0,0.0
stroke,2023,18969,0.6810585692445569,0.022879434867415255,0.0006326111023248458,0.007222310084875323,0.00042174073488323053,0.014602772945331858,0.0,0.0,0.08635141546734146,0.022879434867415255,0.6814275923875798,0.02087632765166633,6.527123201012178,14.49,1638,0.5402930402930403,0.0030525030525030525,0.0006105006105006105,0.002442002442002442,0.0,0.0
stroke,2024,16800,0.6695238095238095,0.004464285714285714,0.0005357142857142857,0.0014285714285714286,0.0004166666666666667,0.0020833333333333333,0.0,0.0,0.05589285714285714,0.004464285714285714,0.6695238095238095,0.020628966006161504,4.679583333333333,13.55,939,0.422790202342918,0.0,0.0,0.0,0.0,0.0
stroke,2025,15200,0.687828947368421,0.024276315789473684,0.001381578947368421,0.017105263157894738,0.000986842105263158,0.004934210526315789,0.0,0.0,0.036907894736842105,0.024276315789473684,0.6881578947368421,0.023041134856607498,1.8435526315789474,14.48,561,0.24955436720142601,0.0,0.0,0.0,0.0,0.0
stroke,2026,13797,0.6694208885989708,0.10980647966949336,0.0018844676378922953,0.03718199608610567,0.006958034355294629,0.06436181778647532,0.0,0.0,0.062259911574980065,0.10980647966949336,0.6698557657461767,0.029886063448470872,0.06457925636007827,17.44,859,0.027939464493597205,0.0034924330616996507,0.0,0.0034924330616996507,0.0,0.0
